h_pct,size,metric,x,value
4,65536,fct_cdf,185.6700,14.0017
4,65536,fct_cdf,186.4410,14.5017
4,65536,fct_cdf,187.3270,15.0018
4,65536,fct_cdf,188.1570,15.5019
4,65536,fct_cdf,188.9140,16.0019
4,65536,fct_cdf,189.7600,16.5020
4,65536,fct_cdf,190.4730,17.0020
4,65536,fct_cdf,191.2010,17.5021
4,65536,fct_cdf,191.9640,18.0022
4,65536,fct_cdf,192.7440,18.5022
4,65536,fct_cdf,193.4280,19.0023
4,65536,fct_cdf,194.3140,19.5023
4,65536,fct_cdf,195.1080,20.0024
4,65536,fct_cdf,195.9080,20.5025
4,65536,fct_cdf,196.6780,21.0025
4,65536,fct_cdf,197.4610,21.5026
4,65536,fct_cdf,198.1360,22.0026
4,65536,fct_cdf,198.7300,22.5027
4,65536,fct_cdf,199.5380,23.0028
4,65536,fct_cdf,200.2670,23.5028
4,65536,fct_cdf,200.9180,24.0029
4,65536,fct_cdf,201.6950,24.5029
4,65536,fct_cdf,202.4190,25.0030
4,65536,fct_cdf,203.2020,25.5031
4,65536,fct_cdf,203.8670,26.0031
4,65536,fct_cdf,204.5580,26.5032
4,65536,fct_cdf,205.2000,27.0032
4,65536,fct_cdf,205.9510,27.5033
4,65536,fct_cdf,206.7460,28.0034
4,65536,fct_cdf,207.3820,28.5034
4,65536,fct_cdf,208.0790,29.0035
4,65536,fct_cdf,208.7270,29.5035
4,65536,fct_cdf,209.5890,30.0036
4,65536,fct_cdf,210.3120,30.5037
4,65536,fct_cdf,211.1340,31.0037
4,65536,fct_cdf,211.8540,31.5038
4,65536,fct_cdf,212.4990,32.0038
4,65536,fct_cdf,213.1610,32.5039
4,65536,fct_cdf,213.8770,33.0040
4,65536,fct_cdf,214.4630,33.5040
4,65536,fct_cdf,215.1550,34.0041
4,65536,fct_cdf,216.0030,34.5041
4,65536,fct_cdf,216.6110,35.0042
4,65536,fct_cdf,217.2600,35.5043
4,65536,fct_cdf,217.9030,36.0043
4,65536,fct_cdf,218.6340,36.5044
4,65536,fct_cdf,219.3040,37.0044
4,65536,fct_cdf,219.9620,37.5045
4,65536,fct_cdf,220.7470,38.0006
4,65536,fct_cdf,221.3590,38.5006
4,65536,fct_cdf,222.0110,39.0007
4,65536,fct_cdf,222.6690,39.5007
4,65536,fct_cdf,223.3480,40.0008
4,65536,fct_cdf,224.0230,40.5009
4,65536,fct_cdf,224.6910,41.0009
4,65536,fct_cdf,225.3520,41.5010
4,65536,fct_cdf,226.0010,42.0010
4,65536,fct_cdf,226.5490,42.5011
4,65536,fct_cdf,227.2320,43.0012
4,65536,fct_cdf,227.8010,43.5012
4,65536,fct_cdf,228.5080,44.0013
4,65536,fct_cdf,229.0600,44.5013
4,65536,fct_cdf,229.7520,45.0014
4,65536,fct_cdf,230.3770,45.5015
4,65536,fct_cdf,231.0380,46.0015
4,65536,fct_cdf,231.6300,46.5016
4,65536,fct_cdf,232.3800,47.0016
4,65536,fct_cdf,233.0150,47.5017
4,65536,fct_cdf,233.6030,48.0018
4,65536,fct_cdf,234.3260,48.5018
4,65536,fct_cdf,234.9490,49.0019
4,65536,fct_cdf,235.4890,49.5019
4,65536,fct_cdf,236.1810,50.0020
4,65536,fct_cdf,236.7920,50.5021
4,65536,fct_cdf,237.4620,51.0021
4,65536,fct_cdf,238.1220,51.5022
4,65536,fct_cdf,238.8090,52.0022
4,65536,fct_cdf,239.4420,52.5023
4,65536,fct_cdf,240.0320,53.0024
4,65536,fct_cdf,240.6900,53.5024
4,65536,fct_cdf,241.2670,54.0025
4,65536,fct_cdf,241.8810,54.5025
4,65536,fct_cdf,242.5290,55.0026
4,65536,fct_cdf,243.2100,55.5027
4,65536,fct_cdf,243.7800,56.0027
4,65536,fct_cdf,244.3320,56.5028
4,65536,fct_cdf,244.9600,57.0028
