arm,run,cls,src_vf,flow,gbps,tcp_retrans
sr,1,tcp,2,3,1.215,443999
sr,1,rdma,3,0,0.062,
sr,1,rdma,3,1,0.062,
sr,1,rdma,3,2,0.062,
sr,1,rdma,3,3,0.062,
sr,1,tcp,3,0,1.156,409644
sr,1,tcp,3,1,1.095,378039
sr,1,tcp,3,2,1.328,537496
sr,1,tcp,3,3,1.187,502925
sr,2,rdma,0,0,0.062,
sr,2,rdma,0,1,0.061,
sr,2,rdma,0,2,0.061,
sr,2,rdma,0,3,0.062,
sr,2,tcp,0,0,1.161,438843
sr,2,tcp,0,1,1.074,394658
sr,2,tcp,0,2,0.865,339950
sr,2,tcp,0,3,1.147,468608
sr,2,rdma,1,0,0.061,
sr,2,rdma,1,1,0.061,
sr,2,rdma,1,2,0.061,
sr,2,rdma,1,3,0.061,
sr,2,tcp,1,0,1.095,433240
sr,2,tcp,1,1,1.356,498052
sr,2,tcp,1,2,1.101,433625
sr,2,tcp,1,3,1.255,473464
sr,2,rdma,2,0,0.061,
sr,2,rdma,2,1,0.061,
sr,2,rdma,2,2,0.06,
sr,2,rdma,2,3,0.061,
sr,2,tcp,2,0,1.358,547972
sr,2,tcp,2,1,1.214,488138
sr,2,tcp,2,2,1.112,411200
sr,2,tcp,2,3,1.291,476537
sr,2,rdma,3,0,0.061,
sr,2,rdma,3,1,0.061,
sr,2,rdma,3,2,0.061,
sr,2,rdma,3,3,0.06,
sr,2,tcp,3,0,1.193,424535
sr,2,tcp,3,1,1.324,479885
sr,2,tcp,3,2,0.808,343763
sr,2,tcp,3,3,1.113,403678
sr,3,rdma,0,0,0.06,
sr,3,rdma,0,1,0.061,
sr,3,rdma,0,2,0.061,
sr,3,rdma,0,3,0.061,
sr,3,tcp,0,0,1.151,447776
sr,3,tcp,0,1,1.238,471163
sr,3,tcp,0,2,1.214,481966
sr,3,tcp,0,3,0.875,330941
sr,3,rdma,1,0,0.062,
sr,3,rdma,1,1,0.062,
sr,3,rdma,1,2,0.062,
sr,3,rdma,1,3,0.062,
sr,3,tcp,1,0,1.261,509866
sr,3,tcp,1,1,0.958,345628
sr,3,tcp,1,2,1.067,387574
sr,3,tcp,1,3,1.188,462168
sr,3,rdma,2,0,0.061,
sr,3,rdma,2,1,0.061,
sr,3,rdma,2,2,0.061,
sr,3,rdma,2,3,0.061,
sr,3,tcp,2,0,1.15,468121
sr,3,tcp,2,1,1.375,509976
sr,3,tcp,2,2,1.124,448620
sr,3,tcp,2,3,1.278,516679
sr,3,rdma,3,0,0.062,
sr,3,rdma,3,1,0.062,
sr,3,rdma,3,2,0.062,
sr,3,rdma,3,3,0.062,
sr,3,tcp,3,0,0.922,366781
sr,3,tcp,3,1,1.224,488280
sr,3,tcp,3,2,1.128,451689
sr,3,tcp,3,3,1.285,498307
