HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=450110 r=450110 s16=449138 ep=68453 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=518656 r=518656 s16=480644 ep=69451 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=354207 r=354207 s16=498568 ep=70450 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=488847 r=488847 s16=465697 ep=71451 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=382897 r=382897 s16=452264 ep=72466 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=420616 r=420616 s16=489526 ep=73468 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=426276 r=426276 s16=448731 ep=74468 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=489142 r=489142 s16=447149 ep=75455 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=471538 r=471538 s16=435750 ep=76456 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=474482 r=474482 s16=423260 ep=77459 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=437895 r=437895 s16=427138 ep=78460 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=439120 r=439120 s16=484361 ep=79461 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=446479 r=446479 s16=511037 ep=80460 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=483544 r=483544 s16=500607 ep=81459 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=430426 r=430426 s16=347000 ep=82464 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=487672 r=487672 s16=409466 ep=83463 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=437620 r=437620 s16=358511 ep=84464 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=474509 r=474509 s16=495771 ep=85466 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=445829 r=445829 s16=504427 ep=86466 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=446488 r=446488 s16=465782 ep=87470 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=385315 r=385315 s16=466096 ep=88471 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=489024 r=489024 s16=449694 ep=89473 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=436120 r=436120 s16=492290 ep=90474 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=408115 r=408115 s16=389688 ep=91475 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=458716 r=458716 s16=419172 ep=92477 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=486346 r=486346 s16=463080 ep=93476 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=439121 r=439121 s16=449993 ep=94477 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=492203 r=492203 s16=427088 ep=95478 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=386974 r=386974 s16=474049 ep=96481 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=469600 r=469600 s16=461483 ep=97483 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=482776 r=482776 s16=446495 ep=98487 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=465176 r=465176 s16=479409 ep=99503 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=445379 r=445379 s16=425873 ep=100494 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=465572 r=465572 s16=418861 ep=101498 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=476483 r=476483 s16=511206 ep=102512 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=455880 r=455880 s16=454559 ep=103511 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=350672 r=350672 s16=509173 ep=104512 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=449331 r=449331 s16=489542 ep=105512 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=471699 r=471699 s16=414508 ep=106512 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=462248 r=462248 s16=423092 ep=107513 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=451905 r=451905 s16=462117 ep=108522 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=457038 r=457038 s16=459993 ep=109523 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=432502 r=432502 s16=418234 ep=110524 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=417977 r=417977 s16=442839 ep=111525 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=375941 r=375941 s16=415907 ep=112524 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=427399 r=427399 s16=422087 ep=113523 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=441183 r=441183 s16=505254 ep=114524 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=426442 r=426442 s16=450022 ep=115527 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=458397 r=458397 s16=490271 ep=116527 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=416653 r=416653 s16=390215 ep=117543 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=425474 r=425474 s16=456971 ep=118545 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=418501 r=418501 s16=402606 ep=119561 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=473328 r=473328 s16=476287 ep=120575 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=451000 r=451000 s16=465224 ep=121585 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=465383 r=465383 s16=349929 ep=122593 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=466179 r=466179 s16=320200 ep=123601 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=445296 r=445296 s16=504346 ep=124599 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=446400 r=446400 s16=448748 ep=125598 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=459542 r=459542 s16=475116 ep=126600 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=400704 r=400704 s16=471663 ep=127602 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=465982 r=465982 s16=445730 ep=128619 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=417986 r=417986 s16=403251 ep=129620 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=503862 r=503862 s16=452698 ep=130619 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=465000 r=465000 s16=507473 ep=131618 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=483031 r=483031 s16=444546 ep=132621 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=507972 r=507972 s16=507564 ep=133622 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=475317 r=475317 s16=470280 ep=134621 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=445429 r=445429 s16=506535 ep=135619 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=501440 r=501440 s16=406729 ep=136619 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=447391 r=447391 s16=506355 ep=137618 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=438075 r=438075 s16=439510 ep=138635 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=336306 r=336306 s16=377460 ep=139636 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=461877 r=461877 s16=443402 ep=140639 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=447476 r=447476 s16=466148 ep=141639 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=479220 r=479220 s16=494969 ep=142655 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=431732 r=431732 s16=472583 ep=143642 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=452336 r=452336 s16=496356 ep=144641 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=463063 r=463063 s16=395921 ep=145640 evb32=0
HPFT_RSP ft=0x74249a41 bud=986397 lvl=986397 avg16=468777 r=468777 s16=378132 ep=146655 evb32=0
