h_pct,size,metric,x,value
3,4096,fct_cdf,18.2043,96.4999
3,4096,fct_cdf,19.0819,96.9999
3,4096,fct_cdf,20.3667,97.4999
3,4096,fct_cdf,22.7629,97.9999
3,4096,fct_cdf,27.5895,98.5000
3,4096,fct_cdf,36.8157,99.0000
3,4096,fct_cdf,56.9257,99.5000
3,4096,fct_cdf,23511.1000,100.0000
3,4096,fct_p50,,9.079
3,4096,fct_p99,,36.829
3,4096,fct_p999,,105.051
3,4096,samples,,99997
3,65536,fct_cdf,13.8534,0.0040
3,65536,fct_cdf,14.6558,0.5041
3,65536,fct_cdf,14.9587,1.0041
3,65536,fct_cdf,15.3044,1.5042
3,65536,fct_cdf,15.5672,2.0042
3,65536,fct_cdf,15.7677,2.5043
3,65536,fct_cdf,15.9572,3.0044
3,65536,fct_cdf,16.1243,3.5044
3,65536,fct_cdf,16.3172,4.0045
3,65536,fct_cdf,16.4634,4.5045
3,65536,fct_cdf,16.5939,5.0046
3,65536,fct_cdf,16.7229,5.5047
3,65536,fct_cdf,16.8472,6.0047
3,65536,fct_cdf,16.9705,6.5048
3,65536,fct_cdf,17.0991,7.0048
3,65536,fct_cdf,17.2048,7.5049
3,65536,fct_cdf,17.3229,8.0050
3,65536,fct_cdf,17.4367,8.5050
3,65536,fct_cdf,17.5357,9.0051
3,65536,fct_cdf,17.6491,9.5051
3,65536,fct_cdf,17.7581,10.0052
3,65536,fct_cdf,17.8281,10.5053
3,65536,fct_cdf,17.9281,11.0053
3,65536,fct_cdf,18.0162,11.5054
3,65536,fct_cdf,18.1200,12.0054
3,65536,fct_cdf,18.2110,12.5015
3,65536,fct_cdf,18.3052,13.0016
3,65536,fct_cdf,18.3995,13.5016
3,65536,fct_cdf,18.4943,14.0017
3,65536,fct_cdf,18.6000,14.5017
3,65536,fct_cdf,18.6824,15.0018
3,65536,fct_cdf,18.7624,15.5019
3,65536,fct_cdf,18.8386,16.0019
3,65536,fct_cdf,18.9252,16.5020
3,65536,fct_cdf,19.0176,17.0020
3,65536,fct_cdf,19.0976,17.5021
3,65536,fct_cdf,19.1752,18.0022
3,65536,fct_cdf,19.2452,18.5022
3,65536,fct_cdf,19.3347,19.0023
3,65536,fct_cdf,19.4081,19.5023
3,65536,fct_cdf,19.4890,20.0024
3,65536,fct_cdf,19.5623,20.5025
3,65536,fct_cdf,19.6362,21.0025
3,65536,fct_cdf,19.7047,21.5026
3,65536,fct_cdf,19.7776,22.0026
3,65536,fct_cdf,19.8600,22.5027
3,65536,fct_cdf,19.9447,23.0028
3,65536,fct_cdf,20.0123,23.5028
3,65536,fct_cdf,20.0871,24.0029
3,65536,fct_cdf,20.1652,24.5029
3,65536,fct_cdf,20.2514,25.0030
3,65536,fct_cdf,20.3257,25.5031
3,65536,fct_cdf,20.3966,26.0031
3,65536,fct_cdf,20.4790,26.5032
3,65536,fct_cdf,20.5604,27.0032
3,65536,fct_cdf,20.6395,27.5033
3,65536,fct_cdf,20.7137,28.0034
3,65536,fct_cdf,20.7895,28.5034
3,65536,fct_cdf,20.8647,29.0035
3,65536,fct_cdf,20.9356,29.5035
3,65536,fct_cdf,21.0114,30.0036
3,65536,fct_cdf,21.0804,30.5037
3,65536,fct_cdf,21.1566,31.0037
3,65536,fct_cdf,21.2356,31.5038
3,65536,fct_cdf,21.3047,32.0038
3,65536,fct_cdf,21.3871,32.5039
3,65536,fct_cdf,21.4761,33.0040
3,65536,fct_cdf,21.5580,33.5040
3,65536,fct_cdf,21.6547,34.0041
3,65536,fct_cdf,21.7404,34.5041
3,65536,fct_cdf,21.8156,35.0042
3,65536,fct_cdf,21.8966,35.5043
3,65536,fct_cdf,21.9823,36.0043
3,65536,fct_cdf,22.0604,36.5044
3,65536,fct_cdf,22.1542,37.0044
3,65536,fct_cdf,22.2432,37.5045
3,65536,fct_cdf,22.3194,38.0006
3,65536,fct_cdf,22.4085,38.5006
3,65536,fct_cdf,22.4899,39.0007
3,65536,fct_cdf,22.5751,39.5007
3,65536,fct_cdf,22.6551,40.0008
3,65536,fct_cdf,22.7356,40.5009
3,65536,fct_cdf,22.8408,41.0009
3,65536,fct_cdf,22.9304,41.5010
3,65536,fct_cdf,23.0213,42.0010
3,65536,fct_cdf,23.1061,42.5011
3,65536,fct_cdf,23.2108,43.0012
3,65536,fct_cdf,23.2989,43.5012
3,65536,fct_cdf,23.3865,44.0013
3,65536,fct_cdf,23.4799,44.5013
3,65536,fct_cdf,23.6008,45.0014
3,65536,fct_cdf,23.7079,45.5015
3,65536,fct_cdf,23.8008,46.0015
3,65536,fct_cdf,23.9175,46.5016
3,65536,fct_cdf,24.0308,47.0016
3,65536,fct_cdf,24.1475,47.5017
3,65536,fct_cdf,24.2622,48.0018
3,65536,fct_cdf,24.3617,48.5018
3,65536,fct_cdf,24.4736,49.0019
3,65536,fct_cdf,24.5727,49.5019
3,65536,fct_cdf,24.6755,50.0020
3,65536,fct_cdf,24.7879,50.5021
3,65536,fct_cdf,24.9132,51.0021
3,65536,fct_cdf,25.0289,51.5022
3,65536,fct_cdf,25.1332,52.0022
3,65536,fct_cdf,25.2565,52.5023
3,65536,fct_cdf,25.3960,53.0024
3,65536,fct_cdf,25.5222,53.5024
3,65536,fct_cdf,25.6712,54.0025
3,65536,fct_cdf,25.8146,54.5025
3,65536,fct_cdf,25.9650,55.0026
3,65536,fct_cdf,26.1284,55.5027
3,65536,fct_cdf,26.2665,56.0027
3,65536,fct_cdf,26.4269,56.5028
3,65536,fct_cdf,26.6150,57.0028
3,65536,fct_cdf,26.8069,57.5029
3,65536,fct_cdf,26.9769,58.0030
3,65536,fct_cdf,27.1560,58.5030
3,65536,fct_cdf,27.3369,59.0031
3,65536,fct_cdf,27.5169,59.5031
3,65536,fct_cdf,27.7302,60.0032
3,65536,fct_cdf,27.9250,60.5033
3,65536,fct_cdf,28.1212,61.0033
3,65536,fct_cdf,28.3188,61.5034
3,65536,fct_cdf,28.5512,62.0034
3,65536,fct_cdf,28.8226,62.4995
3,65536,fct_cdf,29.0688,62.9996
3,65536,fct_cdf,29.3283,63.4996
3,65536,fct_cdf,29.5554,63.9997
3,65536,fct_cdf,29.7778,64.4997
3,65536,fct_cdf,30.0245,64.9998
3,65536,fct_cdf,30.2968,65.4999
3,65536,fct_cdf,30.5887,65.9999
3,65536,fct_cdf,30.8811,66.5000
3,65536,fct_cdf,31.1835,67.0000
3,65536,fct_cdf,31.5111,67.5001
3,65536,fct_cdf,31.8168,68.0002
3,65536,fct_cdf,32.2053,68.5002
3,65536,fct_cdf,32.5153,69.0003
3,65536,fct_cdf,32.8958,69.5003
3,65536,fct_cdf,33.2320,70.0004
3,65536,fct_cdf,33.6191,70.5005
3,65536,fct_cdf,33.9520,71.0005
3,65536,fct_cdf,34.3277,71.5006
3,65536,fct_cdf,34.7386,72.0006
3,65536,fct_cdf,35.1472,72.5007
3,65536,fct_cdf,35.5562,73.0008
3,65536,fct_cdf,35.9610,73.5008
3,65536,fct_cdf,36.3876,74.0009
3,65536,fct_cdf,36.7976,74.5009
3,65536,fct_cdf,37.3647,75.0010
3,65536,fct_cdf,37.8638,75.5011
3,65536,fct_cdf,38.3647,76.0011
3,65536,fct_cdf,38.9975,76.5012
3,65536,fct_cdf,39.6890,77.0012
3,65536,fct_cdf,40.5094,77.5013
3,65536,fct_cdf,41.1475,78.0014
3,65536,fct_cdf,41.9427,78.5014
3,65536,fct_cdf,42.6117,79.0015
3,65536,fct_cdf,43.5231,79.5015
3,65536,fct_cdf,44.3622,80.0016
3,65536,fct_cdf,45.2826,80.5017
3,65536,fct_cdf,46.1621,81.0017
3,65536,fct_cdf,47.3545,81.5018
3,65536,fct_cdf,48.6230,82.0018
3,65536,fct_cdf,49.7487,82.5019
3,65536,fct_cdf,50.8420,83.0020
3,65536,fct_cdf,51.8858,83.5020
3,65536,fct_cdf,52.9743,84.0021
3,65536,fct_cdf,53.9053,84.5021
3,65536,fct_cdf,54.9747,85.0022
3,65536,fct_cdf,56.1238,85.5023
3,65536,fct_cdf,57.3647,86.0023
3,65536,fct_cdf,58.7880,86.5024
3,65536,fct_cdf,60.7536,87.0024
3,65536,fct_cdf,63.5188,87.5025
3,65536,fct_cdf,70.6920,87.9986
3,65536,fct_cdf,92.7214,88.4986
3,65536,fct_cdf,168.9610,88.9987
3,65536,fct_cdf,175.4330,89.4987
3,65536,fct_cdf,176.2320,89.9988
3,65536,fct_cdf,176.9340,90.4989
3,65536,fct_cdf,177.5490,90.9989
3,65536,fct_cdf,178.0490,91.4990
3,65536,fct_cdf,178.4880,91.9990
3,65536,fct_cdf,179.0320,92.4991
3,65536,fct_cdf,179.5920,92.9992
3,65536,fct_cdf,180.1150,93.4992
3,65536,fct_cdf,180.7110,93.9993
3,65536,fct_cdf,181.3340,94.4993
3,65536,fct_cdf,181.9520,94.9994
3,65536,fct_cdf,182.7040,95.4995
3,65536,fct_cdf,183.4080,95.9995
3,65536,fct_cdf,184.4820,96.4996
3,65536,fct_cdf,185.9780,96.9996
3,65536,fct_cdf,188.7860,97.4997
3,65536,fct_cdf,193.8850,97.9998
3,65536,fct_cdf,205.0220,98.4998
3,65536,fct_cdf,226.9110,98.9999
3,65536,fct_cdf,272.4300,99.4999
3,65536,fct_cdf,21135.7000,100.0000
3,65536,fct_p50,,24.675
3,65536,fct_p99,,227.271
3,65536,fct_p999,,531.239
3,65536,samples,,24997
4,,goodput_gbps,,184.83
4,4096,fct_cdf,3.5547,0.0010
4,4096,fct_cdf,3.9266,0.5010
4,4096,fct_cdf,4.0032,1.0010
4,4096,fct_cdf,4.0589,1.5010
4,4096,fct_cdf,4.1104,2.0011
4,4096,fct_cdf,4.1547,2.5011
4,4096,fct_cdf,4.2023,3.0011
4,4096,fct_cdf,4.2470,3.5011
4,4096,fct_cdf,4.2923,4.0011
4,4096,fct_cdf,4.3351,4.5011
4,4096,fct_cdf,4.3756,5.0012
4,4096,fct_cdf,4.4156,5.5012
4,4096,fct_cdf,4.4561,6.0012
4,4096,fct_cdf,4.4975,6.5012
4,4096,fct_cdf,4.5399,7.0012
4,4096,fct_cdf,4.5823,7.5012
4,4096,fct_cdf,4.6199,8.0012
4,4096,fct_cdf,4.6642,8.5013
4,4096,fct_cdf,4.7089,9.0013
4,4096,fct_cdf,4.7542,9.5013
4,4096,fct_cdf,4.7989,10.0013
4,4096,fct_cdf,4.8456,10.5013
4,4096,fct_cdf,4.8880,11.0013
4,4096,fct_cdf,4.9322,11.5013
4,4096,fct_cdf,4.9818,12.0014
4,4096,fct_cdf,5.0260,12.5014
4,4096,fct_cdf,5.0741,13.0004
4,4096,fct_cdf,5.1203,13.5004
4,4096,fct_cdf,5.1627,14.0004
4,4096,fct_cdf,5.2027,14.5004
4,4096,fct_cdf,5.2456,15.0005
4,4096,fct_cdf,5.2913,15.5005
4,4096,fct_cdf,5.3327,16.0005
4,4096,fct_cdf,5.3737,16.5005
4,4096,fct_cdf,5.4189,17.0005
4,4096,fct_cdf,5.4627,17.5005
4,4096,fct_cdf,5.5070,18.0005
4,4096,fct_cdf,5.5494,18.5006
4,4096,fct_cdf,5.5918,19.0006
4,4096,fct_cdf,5.6379,19.5006
4,4096,fct_cdf,5.6841,20.0006
4,4096,fct_cdf,5.7294,20.5006
4,4096,fct_cdf,5.7760,21.0006
4,4096,fct_cdf,5.8160,21.5006
