config,arm,run,cls,vf,flow,gbps,tcp_retrans
band25-47,gbn,1,rdma,2,3,0.02,
band25-47,gbn,1,tcp,2,0,5.919,4593
band25-47,gbn,1,tcp,2,1,6.095,5866
band25-47,gbn,1,tcp,2,2,5.437,4152
band25-47,gbn,1,tcp,2,3,6.092,4432
band25-47,gbn,1,rdma,3,0,0.019,
band25-47,gbn,1,rdma,3,1,0.019,
band25-47,gbn,1,rdma,3,2,0.019,
band25-47,gbn,1,rdma,3,3,0.019,
band25-47,gbn,1,tcp,3,0,5.758,4615
band25-47,gbn,1,tcp,3,1,6.461,4320
band25-47,gbn,1,tcp,3,2,5.346,4355
band25-47,gbn,1,tcp,3,3,4.066,3204
band25-47,gbn,2,rdma,0,0,0.017,
band25-47,gbn,2,rdma,0,1,0.017,
band25-47,gbn,2,rdma,0,2,0.018,
band25-47,gbn,2,rdma,0,3,0.017,
band25-47,gbn,2,tcp,0,0,5.506,4728
band25-47,gbn,2,tcp,0,1,4.726,4479
band25-47,gbn,2,tcp,0,2,4.693,9293
band25-47,gbn,2,tcp,0,3,4.273,9685
band25-47,gbn,2,rdma,1,0,0.017,
band25-47,gbn,2,rdma,1,1,0.017,
band25-47,gbn,2,rdma,1,2,0.017,
band25-47,gbn,2,rdma,1,3,0.017,
band25-47,gbn,2,tcp,1,0,7.1,5939
band25-47,gbn,2,tcp,1,1,7.095,8816
band25-47,gbn,2,tcp,1,2,4.731,9207
band25-47,gbn,2,tcp,1,3,4.648,9972
band25-47,gbn,2,rdma,2,0,0.017,
band25-47,gbn,2,rdma,2,1,0.017,
band25-47,gbn,2,rdma,2,2,0.018,
band25-47,gbn,2,rdma,2,3,0.017,
band25-47,gbn,2,tcp,2,0,5.106,4296
band25-47,gbn,2,tcp,2,1,5.817,3847
band25-47,gbn,2,tcp,2,2,6.867,6580
band25-47,gbn,2,tcp,2,3,7.395,6663
band25-47,gbn,2,rdma,3,0,0.018,
band25-47,gbn,2,rdma,3,1,0.017,
band25-47,gbn,2,rdma,3,2,0.017,
band25-47,gbn,2,rdma,3,3,0.017,
band25-47,gbn,2,tcp,3,0,6.069,9353
band25-47,gbn,2,tcp,3,1,6.686,5264
band25-47,gbn,2,tcp,3,2,6.054,5759
band25-47,gbn,2,tcp,3,3,6.671,6950
band25-47,gbn,3,rdma,0,0,0.017,
band25-47,gbn,3,rdma,0,1,0.017,
band25-47,gbn,3,rdma,0,2,0.017,
band25-47,gbn,3,rdma,0,3,0.017,
band25-47,gbn,3,tcp,0,0,4.742,10671
band25-47,gbn,3,tcp,0,1,4.386,10307
band25-47,gbn,3,tcp,0,2,6.444,5241
band25-47,gbn,3,tcp,0,3,6.567,7161
band25-47,gbn,3,rdma,1,0,0.017,
band25-47,gbn,3,rdma,1,1,0.017,
band25-47,gbn,3,rdma,1,2,0.017,
band25-47,gbn,3,rdma,1,3,0.017,
band25-47,gbn,3,tcp,1,0,5.954,5202
band25-47,gbn,3,tcp,1,1,6.091,5430
band25-47,gbn,3,tcp,1,2,5.512,9017
band25-47,gbn,3,tcp,1,3,6.081,3106
band25-47,gbn,3,rdma,2,0,0.017,
band25-47,gbn,3,rdma,2,1,0.017,
band25-47,gbn,3,rdma,2,2,0.017,
band25-47,gbn,3,rdma,2,3,0.017,
band25-47,gbn,3,tcp,2,0,5.515,8078
band25-47,gbn,3,tcp,2,1,6.764,6720
band25-47,gbn,3,tcp,2,2,6.049,5080
band25-47,gbn,3,tcp,2,3,6.298,6312
band25-47,gbn,3,rdma,3,0,0.017,
band25-47,gbn,3,rdma,3,1,0.017,
band25-47,gbn,3,rdma,3,2,0.017,
band25-47,gbn,3,rdma,3,3,0.017,
band25-47,gbn,3,tcp,3,0,6.178,6479
band25-47,gbn,3,tcp,3,1,4.404,3214
band25-47,gbn,3,tcp,3,2,6.796,6755
band25-47,gbn,3,tcp,3,3,6.121,5918
band25-47,sr,1,rdma,0,0,0.031,
band25-47,sr,1,rdma,0,1,0.031,
band25-47,sr,1,rdma,0,2,0.031,
band25-47,sr,1,rdma,0,3,0.031,
band25-47,sr,1,tcp,0,0,8.612,5641
band25-47,sr,1,tcp,0,1,7.364,4535
band25-47,sr,1,tcp,0,2,4.646,10052
band25-47,sr,1,tcp,0,3,4.776,8907
band25-47,sr,1,rdma,1,0,0.031,
band25-47,sr,1,rdma,1,1,0.031,
band25-47,sr,1,rdma,1,2,0.031,
band25-47,sr,1,rdma,1,3,0.031,
band25-47,sr,1,tcp,1,0,6.063,5268
band25-47,sr,1,tcp,1,1,4.09,11414
band25-47,sr,1,tcp,1,2,4.541,12388
band25-47,sr,1,tcp,1,3,6.802,2883
band25-47,sr,1,rdma,2,0,0.031,
band25-47,sr,1,rdma,2,1,0.031,
band25-47,sr,1,rdma,2,2,0.031,
band25-47,sr,1,rdma,2,3,0.031,
band25-47,sr,1,tcp,2,0,6.508,7256
band25-47,sr,1,tcp,2,1,6.649,7804
band25-47,sr,1,tcp,2,2,7.041,5444
band25-47,sr,1,tcp,2,3,6.481,5164
band25-47,sr,1,rdma,3,0,0.031,
band25-47,sr,1,rdma,3,1,0.031,
band25-47,sr,1,rdma,3,2,0.031,
band25-47,sr,1,rdma,3,3,0.031,
band25-47,sr,1,tcp,3,0,4.466,2961
band25-47,sr,1,tcp,3,1,4.329,2935
band25-47,sr,1,tcp,3,2,5.897,8935
band25-47,sr,1,tcp,3,3,5.409,8961
band25-47,sr,2,rdma,0,0,0.043,
band25-47,sr,2,rdma,0,1,0.043,
band25-47,sr,2,rdma,0,2,0.043,
band25-47,sr,2,rdma,0,3,0.043,
band25-47,sr,2,tcp,0,0,4.376,9831
band25-47,sr,2,tcp,0,1,4.675,9489
band25-47,sr,2,tcp,0,2,7.053,6470
band25-47,sr,2,tcp,0,3,7.174,8475
band25-47,sr,2,rdma,1,0,0.043,
band25-47,sr,2,rdma,1,1,0.043,
band25-47,sr,2,rdma,1,2,0.043,
band25-47,sr,2,rdma,1,3,0.043,
band25-47,sr,2,tcp,1,0,6.826,7337
band25-47,sr,2,tcp,1,1,7.543,5966
band25-47,sr,2,tcp,1,2,6.887,6657
band25-47,sr,2,tcp,1,3,6.805,4635
band25-47,sr,2,rdma,2,0,0.042,
band25-47,sr,2,rdma,2,1,0.042,
band25-47,sr,2,rdma,2,2,0.042,
band25-47,sr,2,rdma,2,3,0.042,
band25-47,sr,2,tcp,2,0,6.334,7861
band25-47,sr,2,tcp,2,1,4.825,9815
band25-47,sr,2,tcp,2,2,6.411,6345
band25-47,sr,2,tcp,2,3,4.954,10803
band25-47,sr,2,rdma,3,0,0.043,
band25-47,sr,2,rdma,3,1,0.043,
band25-47,sr,2,rdma,3,2,0.043,
band25-47,sr,2,rdma,3,3,0.043,
band25-47,sr,2,tcp,3,0,6.531,12316
