arm,size,metric,x,value
cc,4096,fct_cdf,1070.4600,65.9995
cc,4096,fct_cdf,1070.6600,66.3498
cc,4096,fct_cdf,1070.7600,66.6750
cc,4096,fct_cdf,1070.8600,67.0003
cc,4096,fct_cdf,1071.0500,67.3505
cc,4096,fct_cdf,1071.2200,67.6758
cc,4096,fct_cdf,1071.3700,68.0010
cc,4096,fct_cdf,1071.4600,68.3513
cc,4096,fct_cdf,1071.6300,68.6765
cc,4096,fct_cdf,1071.8300,69.0018
cc,4096,fct_cdf,1072.0000,69.3520
cc,4096,fct_cdf,1072.1100,69.6773
cc,4096,fct_cdf,1072.3200,70.0025
cc,4096,fct_cdf,1072.4200,70.3528
cc,4096,fct_cdf,1072.5500,70.6780
cc,4096,fct_cdf,1072.6500,71.0033
cc,4096,fct_cdf,1072.7900,71.3285
cc,4096,fct_cdf,1072.9500,71.6788
cc,4096,fct_cdf,1073.0500,72.0040
cc,4096,fct_cdf,1073.1800,72.3292
cc,4096,fct_cdf,1073.3100,72.6795
cc,4096,fct_cdf,1073.5200,73.0048
cc,4096,fct_cdf,1073.6400,73.3300
cc,4096,fct_cdf,1073.8400,73.6803
cc,4096,fct_cdf,1073.9700,74.0055
cc,4096,fct_cdf,1074.1300,74.3307
cc,4096,fct_cdf,1074.2600,74.6810
cc,4096,fct_cdf,1074.4100,75.0063
cc,4096,fct_cdf,1074.5400,75.3315
cc,4096,fct_cdf,1074.7400,75.6818
cc,4096,fct_cdf,1074.8800,76.0070
cc,4096,fct_cdf,1074.9900,76.3322
cc,4096,fct_cdf,1075.1800,76.6825
cc,4096,fct_cdf,1075.2900,77.0078
cc,4096,fct_cdf,1075.4100,77.3330
cc,4096,fct_cdf,1075.6300,77.6833
cc,4096,fct_cdf,1075.7400,78.0085
cc,4096,fct_cdf,1075.8700,78.3338
cc,4096,fct_cdf,1076.0800,78.6840
cc,4096,fct_cdf,1076.3000,79.0093
cc,4096,fct_cdf,1076.3900,79.3345
cc,4096,fct_cdf,1076.5700,79.6597
