ts_ns,gbps
1783088360923532794,0.967
1783088360928528320,0.967
1783088360933536142,0.975
1783088360938536427,0.966
1783088360943527218,0.968
1783088360948532761,0.976
1783088360953530751,0.967
1783088360958536001,0.965
1783088360963536643,0.968
1783088360968531709,0.978
1783088360973539143,0.965
1783088360978535794,0.967
1783088360983535803,0.977
1783088360988529516,0.967
1783088360993536684,0.965
1783088360998535154,0.967
1783088361003532243,0.977
1783088361008538727,0.965
1783088361013532741,0.967
1783088361018536711,0.976
1783088361023535410,0.966
1783088361028529552,0.967
1783088361033542889,0.974
1783088361038534039,0.968
1783088361043528734,0.967
1783088361048537139,0.965
1783088361053532499,0.978
1783088361058538488,0.965
1783088361063538782,0.966
1783088361068533272,0.978
1783088361073538486,0.965
1783088361078537768,0.966
1783088361083530311,0.968
1783088361088536311,0.975
1783088361093534250,0.967
1783088361098541327,0.974
1783088361103544740,0.967
1783088361108539333,0.967
1783088361113538942,0.966
1783088361118539126,0.977
1783088361123532288,0.968
1783088361128538690,0.965
1783088361133536935,0.968
1783088361138536787,0.977
1783088361143539560,0.966
1783088361148533207,0.967
1783088361153546149,0.974
1783088361158541579,0.969
1783088361163540005,0.967
1783088361168532636,0.968
1783088361173542097,0.975
1783088361178544507,0.966
1783088361183534886,0.968
1783088361188541292,0.975
1783088361193533142,0.968
1783088361198538732,0.965
1783088361203550130,0.974
1783088361208537105,0.969
1783088361213543063,0.965
1783088361218543783,0.966
1783088361223534681,0.978
1783088361228540825,0.965
1783088361233538059,0.967
1783088361238545510,0.975
1783088361243539388,0.967
1783088361248534045,0.967
1783088361253548148,0.974
1783088361258542808,0.967
1783088361263546728,0.965
1783088361268538386,0.968
1783088361273545625,0.975
1783088361278543714,0.967
1783088361283537108,0.968
1783088361288545226,0.975
1783088361293539353,0.967
1783088361298543048,0.966
1783088361303549184,0.975
1783088361308537099,0.969
1783088361313546007,0.965
1783088361318543199,0.969
1783088361323538223,0.978
1783088361328543436,0.965
1783088361333537006,0.967
1783088361338541420,0.965
1783088361343543695,0.976
1783088361348538913,0.967
1783088361353547351,0.965
1783088361358541917,0.978
1783088361363541349,0.966
1783088361368543600,0.966
1783088361373540046,0.977
1783088361378542971,0.966
1783088361383547547,0.965
1783088361388538448,0.968
1783088361393548927,0.975
1783088361398544598,0.967
1783088361403541282,0.967
1783088361408545262,0.976
1783088361413539413,0.967
1783088361418544349,0.965
1783088361423545556,0.976
1783088361428539503,0.967
1783088361433538737,0.966
1783088361438539796,0.966
1783088361443539074,0.977
1783088361448538383,0.968
1783088361453542584,0.965
1783088361458548196,0.976
1783088361463540090,0.968
1783088361468547959,0.965
1783088361473541662,0.967
1783088361478541556,0.977
1783088361483534427,0.968
1783088361488528190,0.967
1783088361493526069,0.967
1783088361498526369,0.977
1783088361503528161,0.966
1783088361508532268,0.965
1783088361513532703,0.977
1783088361518535009,0.966
1783088361523534429,0.966
1783088361528540146,0.975
1783088361533542445,0.966
1783088361538540906,0.967
1783088361543542332,0.976
1783088361548540580,0.967
1783088361553546728,0.965
1783088361558543006,0.977
1783088361563540977,0.967
1783088361568548493,0.965
1783088361573541691,0.968
1783088361578542343,0.976
1783088361583540326,0.967
1783088361588547260,0.965
1783088361593541798,0.978
1783088361598541528,0.966
1783088361603543206,0.966
1783088361608545000,0.976
1783088361613543910,0.966
1783088361618543393,0.966
1783088361623544075,0.968
1783088361628543244,0.977
1783088361633546199,0.966
1783088361638543660,0.967
1783088361643546775,0.976
1783088361648548421,0.966
1783088361653552075,0.966
1783088361658546909,0.967
1783088361663545720,0.977
1783088361668553289,0.965
1783088361673551709,0.967
1783088361678544602,0.978
1783088361683543476,0.966
1783088361688553108,0.966
1783088361693548287,0.967
1783088361698543725,0.978
1783088361703548450,0.965
1783088361708555151,0.965
1783088361713547552,0.978
1783088361718547537,0.966
1783088361723548955,0.966
1783088361728551903,0.976
1783088361733547830,0.969
1783088361738548500,0.966
1783088361743549490,0.966
1783088361748548246,0.977
1783088361753550769,0.966
1783088361758552404,0.966
1783088361763547799,0.978
1783088361768547961,0.966
1783088361773548777,0.966
1783088361778545457,0.967
1783088361783546527,0.976
1783088361788546659,0.966
1783088361793550183,0.966
1783088361798547750,0.977
1783088361803551739,0.965
1783088361808558858,0.965
1783088361813549076,0.972
1783088361818546850,0.974
1783088361823550178,0.966
1783088361828547602,0.967
1783088361833548869,0.976
1783088361838551527,0.966
1783088361843548357,0.967
1783088361848554317,0.975
1783088361853552409,0.967
1783088361858549683,0.967
1783088361863548513,0.977
1783088361868555269,0.965
1783088361873552147,0.967
1783088361878554460,0.968
1783088361883551464,0.977
1783088361888559480,0.965
1783088361893551506,0.968
1783088361898550400,0.977
1783088361903558049,0.965
1783088361908560127,0.966
1783088361913552283,0.968
1783088361918549405,0.977
1783088361923550436,0.966
1783088361928556389,0.965
1783088361933556391,0.977
1783088361938550885,0.967
1783088361943549652,0.966
1783088361948548994,0.977
1783088361953554013,0.965
1783088361958552378,0.967
1783088361963550852,0.967
1783088361968559218,0.975
1783088361973552156,0.968
1783088361978552949,0.966
1783088361983551721,0.977
1783088361988558343,0.965
1783088361993553275,0.967
1783088361998551639,0.977
1783088362003555459,0.965
1783088362008559508,0.965
1783088362013553802,0.967
1783088362018555356,0.976
1783088362023552678,0.967
1783088362028551932,0.966
1783088362033553974,0.976
1783088362038555348,0.966
1783088362043552565,0.967
1783088362048551481,0.977
1783088362053557453,0.965
1783088362058556601,0.966
1783088362063553455,0.967
1783088362068551861,0.977
1783088362073555775,0.965
1783088362078559071,0.966
1783088362083557180,0.977
1783088362088552202,0.967
1783088362093553718,0.966
1783088362098554070,0.977
1783088362103560828,0.965
