phase,ts_ns,rate
maxrate,1783000217702288693,41943
maxrate,1783000217702291424,20971
maxrate,1783000217702294173,41943
maxrate,1783000217702296877,20971
maxrate,1783000217702299556,41943
maxrate,1783000217702302684,20971
maxrate,1783000217702305394,41943
maxrate,1783000217702308279,20971
maxrate,1783000217702310941,41943
maxrate,1783000217702313672,20971
maxrate,1783000217702316357,41943
maxrate,1783000217702319261,20971
maxrate,1783000217702321913,41943
maxrate,1783000217702324620,20971
maxrate,1783000217702327306,41943
maxrate,1783000217702330003,20971
maxrate,1783000217702332674,41943
maxrate,1783000217702335596,20971
maxrate,1783000217702338251,41943
maxrate,1783000217702341173,20971
maxrate,1783000217702343858,41943
maxrate,1783000217702347301,20971
maxrate,1783000217702349975,41943
maxrate,1783000217702352672,20971
maxrate,1783000217702355340,41943
maxrate,1783000217702358246,20971
maxrate,1783000217702360917,41943
maxrate,1783000217702363618,20971
maxrate,1783000217702366297,41943
maxrate,1783000217702369174,20971
maxrate,1783000217702371880,41943
maxrate,1783000217702374615,20971
maxrate,1783000217702377303,41943
maxrate,1783000217702380001,20971
maxrate,1783000217702382674,41943
maxrate,1783000217702388024,20971
maxrate,1783000217702390743,41943
maxrate,1783000217702393441,20971
maxrate,1783000217702396130,41943
maxrate,1783000217702399152,20971
maxrate,1783000217702401831,41943
maxrate,1783000217702404732,20971
maxrate,1783000217702407420,41943
maxrate,1783000217702410145,20971
maxrate,1783000217702412837,41943
maxrate,1783000217702415529,20971
maxrate,1783000217702418351,41943
maxrate,1783000217702421130,20971
maxrate,1783000217702423810,41943
maxrate,1783000217702426498,20971
maxrate,1783000217702429357,41943
maxrate,1783000217702432045,20971
maxrate,1783000217702434758,41943
maxrate,1783000217702437759,20971
maxrate,1783000217702440441,41943
maxrate,1783000217702443145,20971
maxrate,1783000217702445825,41943
maxrate,1783000217702448677,20971
maxrate,1783000217702451347,41943
maxrate,1783000217702454193,20971
maxrate,1783000217702456891,41943
maxrate,1783000217702459574,20971
maxrate,1783000217702462259,41943
maxrate,1783000217702465139,20971
maxrate,1783000217702467861,41943
maxrate,1783000217702470779,20971
maxrate,1783000217702473513,41943
maxrate,1783000217702476205,20971
maxrate,1783000217702478948,41943
maxrate,1783000217702481646,20971
maxrate,1783000217702484329,41943
maxrate,1783000217702487014,20971
maxrate,1783000217702489709,41943
maxrate,1783000217702492398,20971
maxrate,1783000217702495077,41943
maxrate,1783000217702497851,20971
maxrate,1783000217702500542,41943
maxrate,1783000217702503243,20971
park,1783000217702506725,41943
